metric,value
white_men_hours_home_1970,5903.0
white_men_hours_home_1980,7837.0
white_men_hours_home_2000,10128.0
white_men_hours_home_2020,11823.0
white_women_hours_home_1970,9798.0
white_women_hours_home_1980,12966.0
white_women_hours_home_2000,13357.0
white_women_hours_home_2020,14488.0
black_men_hours_home_1970,8716.0
black_men_hours_home_1980,11298.0
black_men_hours_home_2000,13154.0
black_men_hours_home_2020,15767.0
black_women_hours_home_1970,12235.0
black_women_hours_home_1980,14065.0
black_women_hours_home_2000,15595.0
black_women_hours_home_2020,17136.0
hispanic_men_hours_home_1980,10940.0
hispanic_men_hours_home_2000,16082.0
hispanic_men_hours_home_2020,16428.0
hispanic_women_hours_home_1980,14867.0
hispanic_women_hours_home_2000,18286.0
hispanic_women_hours_home_2020,18599.0
bw_wm_gap_hours_2020,5313.0
bw_wm_ratio_2020,1.45
